"filename", "language", "YAML", "Gradle", "Properties", "C++", "XML", "Swift", "Markdown", "CMake", "JSON", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\profile_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 32, 4, 73
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\radial_painter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 11, 49
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\referal_info_detail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 5, 62
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\search_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\top_referals.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 4, 62
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\users.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 7, 15, 166
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\users_by_device.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 4, 123
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\view_line_chart.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 6, 95
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\viewers.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\dash_board_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\flip_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 9, 65
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\Adminboard.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 346, 0, 1, 10, 357
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\CoachViewPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 372, 0, 2, 17, 391
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\CoachesPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 8, 6, 70
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\EditCoach.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 8, 7, 180
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\EditingPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 1, 6, 121
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\SkillsAdd.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 1, 4, 216
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\SkillsList.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 415, 0, 0, 6, 421
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\CoachesPage\diabled_coach.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 2, 6, 184
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\Dashboard.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 8, 7, 236
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\components\card_custom.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\components\circle_progress.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 8, 33
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\components\data_table.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 3, 8, 146
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\components\graphbody.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 0, 23, 28, 324
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\components\list_tile_custom.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\DashboardPage\themes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 7, 39
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\FormatPage\formatpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 5, 59
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\GymConfigPage\gymconf.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 0, 3, 8, 275
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\PrimaryPage\Home.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 11, 7, 161
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\PrimaryPage\griddashboard.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 6, 149
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\Primarypage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\SettingPage\setting.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 229, 0, 16, 8, 253
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\TraineePage\trainee.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 328, 0, 207, 20, 555
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\table_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 339, 12, 503
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\tables\coach_table.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 37, 9, 180
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\tables\market_table.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 3, 8, 172
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\tables\recipe_table.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 3, 8, 133
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\majdy\tables\trainee_table.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 156, 16, 330
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\map.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 41, 20, 324
"c:\Users\Asus\Desktop\admin\admin_dashboard\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\Asus\Desktop\admin\admin_dashboard\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Asus\Desktop\admin\admin_dashboard\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\Asus\Desktop\admin\admin_dashboard\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Asus\Desktop\admin\admin_dashboard\linux\my_application.cc", "C++", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\Asus\Desktop\admin\admin_dashboard\linux\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Asus\Desktop\admin\admin_dashboard\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 4, 17
"c:\Users\Asus\Desktop\admin\admin_dashboard\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Asus\Desktop\admin\admin_dashboard\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"c:\Users\Asus\Desktop\admin\admin_dashboard\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\Asus\Desktop\admin\admin_dashboard\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Asus\Desktop\admin\admin_dashboard\pubspec.yaml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 13, 110
"c:\Users\Asus\Desktop\admin\admin_dashboard\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 10, 7, 31
"c:\Users\Asus\Desktop\admin\admin_dashboard\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 16, 6, 60
"c:\Users\Asus\Desktop\admin\admin_dashboard\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\utils.cpp", "C++", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Asus\Desktop\admin\admin_dashboard\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 43, 89, 8, 532, 610, 42, 13, 37, 248, 8065, 38, 1501, 868, 12094
